meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,6.799337428425432,6.608445358654758,6.5022278667766,6.443251334479245,6.41063109845948,6.392715355312768,6.383003424582503,6.377868498904047,6.375287139077767,6.37413044417704,6.373768586875028,6.373850178974344,6.374179176797617,6.37464620523287,6.375190242597174,6.375777244163902,6.376388215972945,6.377012561066823,6.3776443672762335,6.378280336131223,6.378918627375959,6.379558214309707,6.38019852412385,6.380839237241609,156.71952054794522,158.47304109589044,160.22656164383565,161.98008219178087,163.73360273972608,165.4871232876713,167.2406438356165,168.99416438356172,170.74768493150694,172.50120547945215,5673.692191780827,7358.825438356177,8725.915273972607,10674.732794520532,11934.857876712294
X7,1.308540722193142,1.318726079080696,1.3273106565962236,1.334546040877176,1.3406442775811216,1.3457840862565567,1.3501160980334999,1.3537672701335948,1.3568446065747062,1.3594382941117977,1.3616243453183516,1.3634668262684797,1.3650197341058659,1.366328579524999,1.367431720542092,1.3683614866441876,1.3691451262616174,1.3698056053311614,1.3703622803532032,1.370831465668007,1.3712269115761422,1.3715602073152178,1.371841120702866,1.3720778843998123,50.64729872114689,45.4388148698128,42.85566529698792,41.62311075010657,41.08536559913163,40.90506297338928,40.908645539179176,41.006827267849445,41.153675240620714,41.325559410783,1340.0591103706627,1507.7975945008131,1640.7042898078348,1882.991271127869,2003.794944633205
X10,2.2455855701779175,2.39796106779625,2.522193279664273,2.623480184100046,2.706059708813653,2.773387049301676,2.82827923707959,2.8730330066062773,2.9095208925501073,2.9392695781855385,2.963523773081841,2.983298292779182,2.9994205195087162,3.0125650205482772,3.0232817726742423,3.032019173643949,3.0391428035280876,3.0449507208827034,3.049685933765275,3.0535465673924826,3.0566941538628574,3.059260390793154,3.061352651655374,3.063058478371488,95.4077263850542,87.83761020843689,86.00474914217324,85.74013093167906,85.9041821122729,86.18540739391861,86.49866148434504,86.82067044963463,87.14507250529466,87.47012869726281,2787.029954158482,3084.6928080254797,3282.8381527895212,3699.8393744061977,3878.1412815450544
X16,3.3143874102088984,3.423443189445645,3.5105852717205175,3.580217001064412,3.6358569124005613,3.680316525319338,3.7158424119251863,3.7442297175330257,3.7669128704860673,3.785038064718978,3.7995211776557394,3.81109405006988,3.8203414664574185,3.8277307045639426,3.833635147221947,3.8383531496193637,3.8421231153741924,3.845135543218732,3.8475426530199113,3.8494660775445633,3.8510030086393643,3.852231108395758,3.8532124334641074,3.853996570815131,121.96667750480654,117.67659815595219,115.89051647501387,115.32043724837804,115.34087852733852,115.6480909935576,116.09456655574432,116.60867168031452,117.15561937294913,117.71851621916471,3774.731792098041,4311.747138938332,4701.486906025668,5404.659133518184,5759.143674977267
X18,2.495493274835695,2.5007191794319055,2.504922745859493,2.5083016319383855,2.511015280526987,2.5131923079639034,2.514936464035873,2.5163314396515704,2.517444745004654,2.518330837936723,2.5190336474657635,2.519588609418182,2.52002430849381,2.520363802855737,2.520625692625294,2.520824981795303,2.520973773501901,2.5210818308732152,2.521157029444128,2.5212057221016315,2.521233033472019,2.5212430973915576,2.5212392484648216,2.5212241765873356,65.58461643835618,66.29423287671234,67.0038493150685,67.71346575342467,68.42308219178084,69.132698630137,69.84231506849316,70.55193150684933,71.26154794520549,71.97116438356166,2363.094753424658,3045.036150684932,3596.1082191780824,4386.920835616439,4894.7063013698635
X20,0.6252143539323296,0.8177717353594727,0.9351224432027346,1.0067333626865878,1.0505258966540272,1.0773996253428095,1.0939835414941885,1.1043093182373156,1.1108289703585652,1.1150337835648874,1.1178307397685088,1.119771454387771,1.1211914132417962,1.1222946547441048,1.1232052725875423,1.1239987390537158,1.124720955470569,1.1253998384700379,1.1260523666096838,1.126688866042659,1.1273156170102943,1.1279364390793325,1.1285536552640243,1.1291686783935122,15.559687961785897,60.67498837376734,21.441612779482256,57.38102261716312,26.325336181126954,54.97666870059729,30.416224376158883,53.27890122606621,33.87739230157723,52.14234975338802,1440.0908259973335,1948.223295812415,2356.2777506449675,2921.797723918448,3298.8056796415394
X26,1.0880369597561825,1.1863269808624028,1.2595182732270644,1.3140198921881612,1.3546043165563089,1.3848253546225282,1.4073293362859145,1.4240868410941991,1.4365652536524782,1.4458572563555083,1.4527765110146942,1.457928907819643,1.4617656206078333,1.4646226142704577,1.4667500637927153,1.4683342610308698,1.469513927510906,1.4703923616923353,1.471046484382233,1.47153357436858,1.471896284084148,1.4721663745016376,1.4723674963092117,1.4725172609023351,33.65354859457594,33.617407734582294,33.58126687458865,33.545126014595006,33.50898515460136,33.47284429460772,33.436703434614074,33.40056257462043,33.364421714626786,33.32828085463314,1026.4545065348095,991.7231400809175,926.663184151862,923.3807738329303,860.5254103634871
X30,4.7979988018474415,4.527980933511424,4.306683645556557,4.125316056967063,3.976673466292943,3.854851149890409,3.7550098008774913,3.673183291030303,3.606121119094848,3.5511592868830224,3.506114473795425,3.4691973059274286,3.4389412744340033,3.4141444794847158,3.3938218856279954,3.377166191942184,3.3635157625673013,3.3523283436801865,3.3431595228381052,3.335645075003225,3.329486493956033,3.3244391343431583,3.320302493310676,3.316912245667539,126.5813259464792,118.86583461896271,117.61621969007815,118.03409251282935,118.88199449642926,119.84079689234035,120.82819944510247,121.82297770508566,122.81965808949755,123.81682901362771,4039.645975711128,4982.270439126939,5734.119411140632,6868.2430105636995,7559.254157692338
X31,0.2669199012485231,0.31724476657955236,0.35674033153684975,0.3877369301573392,0.412063436869638,0.43115517451701774,0.4461386018831878,0.45789777749013455,0.46712652119314196,0.47436935123349655,0.4800536121341832,0.4845146890622693,0.4880157963664569,0.49076350786146916,0.49291994518368204,0.49461234336051896,0.4959405579853808,0.49698295693962335,0.4978010442874562,0.49844308916476565,0.49894697377509645,0.49934242853145583,0.4996527862227229,0.4998963587047317,11.200726031788987,11.317452063577973,11.434178095366958,11.550904127155944,11.66763015894493,11.784356190733915,11.9010822225229,12.017808254311886,12.134534286100871,12.251260317889857,401.5001117673368,513.673828316552,603.9080239093914,734.4027544295236,817.5166620832348
X32,0.23150120976766583,0.3306251953593582,0.39282519298358787,0.4318555011512855,0.456346900087803,0.4717151779730409,0.4813587253167467,0.48741002176419224,0.4912071917670716,0.4935899043239574,0.49508504916193835,0.4960232479723995,0.49661196485493203,0.4969813828971575,0.4972131915881782,0.4973586508324237,0.4974499260630602,0.49750720099096846,0.4975431408329608,0.49756569297382963,0.4975798443732118,0.49758872433301865,0.4975942964806234,0.4975977929861938,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,11.822905405158346,366.5100675599087,366.5100675599087,354.68716215475035,366.5100675599087,354.68716215475035
