meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,5.617999999999999,134.832,134.832,134.832,134.832,134.832,134.832,134.832,134.832,134.832,134.832,1517.0160000000003,1517.0160000000003,1468.0800000000002,1517.0160000000003,1468.0800000000002
X7,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,1.146,27.503999999999998,27.503999999999998,27.503999999999998,27.503999999999998,27.503999999999998,27.503999999999998,27.503999999999998,27.503999999999998,27.503999999999998,27.503999999999998,397.29600000000005,397.29600000000005,384.48,397.29600000000005,384.48
X10,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,2.039,48.93600000000001,48.93600000000001,48.93600000000001,48.93600000000001,48.93600000000001,48.93600000000001,48.93600000000001,48.93600000000001,48.93600000000001,48.93600000000001,171.864,171.864,166.32000000000002,171.864,166.32000000000002
X16,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,3.6839999999999997,88.416,88.416,88.416,88.416,88.416,88.416,88.416,88.416,88.416,88.416,384.648,384.648,372.24,384.648,372.24
X18,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,2.575,61.800000000000004,61.800000000000004,61.800000000000004,61.800000000000004,61.800000000000004,61.800000000000004,61.800000000000004,61.800000000000004,61.800000000000004,61.800000000000004,46.128,46.128,44.64,46.128,44.64
X20,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,2.208,2.208,2.208,2.208,2.208,2.208,2.208,2.208,2.208,2.208,128.71200000000002,128.71200000000002,124.56,128.71200000000002,124.56
X26,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,1.337,32.088,32.088,32.088,32.088,32.088,32.088,32.088,32.088,32.088,32.088,180.792,180.792,174.96,180.792,174.96
X30,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,2.291,54.983999999999995,54.983999999999995,54.983999999999995,54.983999999999995,54.983999999999995,54.983999999999995,54.983999999999995,54.983999999999995,54.983999999999995,54.983999999999995,209.80799999999996,209.80799999999996,203.03999999999996,209.80799999999996,203.03999999999996
X31,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999,12.911999999999999,12.911999999999999,12.911999999999999,12.911999999999999,12.911999999999999,12.911999999999999,12.911999999999999,12.911999999999999,12.911999999999999,12.911999999999999,521.544,521.544,504.7199999999999,521.544,504.7199999999999
X32,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,12.888000000000002,12.888000000000002,12.888000000000002,12.888000000000002,12.888000000000002,12.888000000000002,12.888000000000002,12.888000000000002,12.888000000000002,12.888000000000002,386.88,386.88,374.40000000000003,386.88,374.40000000000003
